	gene_id	gene_type	logFC	AveExpr
14541	ENSG00000248546.3	processed_pseudogene	0.449817927	0.073972541
14546	ENSG00000201050.1	snRNA	0.38094408	0.169836608
14099	ENSG00000241651.4	processed_pseudogene	0.404279513	1.45653165
14034	ENSG00000186867.10	protein_coding	0.48861975	-1.745303146
9189	ENSG00000232893.1	antisense	0.332324201	1.162603164
3525	ENSG00000271890.1	unprocessed_pseudogene	0.320190294	-1.362672208
11271	ENSG00000251447.1	unprocessed_pseudogene	0.37818516	-1.484494771
14945	ENSG00000249966.1	antisense	0.406176119	-1.570880698
9527	ENSG00000144596.12	protein_coding	0.38259805	1.276074539
5970	ENSG00000138050.14	protein_coding	0.330997768	-1.060410388
11845	ENSG00000241416.1	processed_pseudogene	0.333480848	1.47358935
15792	ENSG00000249721.1	processed_pseudogene	0.350729381	-0.565217606
6215	ENSG00000212168.1	snoRNA	0.315667145	1.129660746
7389	ENSG00000224967.1	processed_pseudogene	0.649235462	-1.953019675
17836	ENSG00000233068.3	lincRNA	0.324991054	1.705508321
15540	ENSG00000248464.1	antisense	0.302032947	0.889583867
12780	ENSG00000250137.1	antisense	0.310844413	0.545555583
14544	ENSG00000248162.1	processed_pseudogene	0.307143445	0.947554718
8596	ENSG00000173166.17	protein_coding	0.319649569	-0.214421593
15544	ENSG00000251141.5	antisense	0.294504795	0.079906744
18832	ENSG00000065491.8	protein_coding	0.342718997	-0.153328742
10224	ENSG00000180929.5	protein_coding	0.36611479	0.297647613
9979	ENSG00000232455.2	antisense	0.340682584	-0.955181889
17887	ENSG00000283616.1	miRNA	0.273137049	0.59319503
18131	ENSG00000112308.12	protein_coding	0.375596031	-1.275152077
10157	ENSG00000228008.1	antisense	0.405950325	-1.298033838
4055	ENSG00000285609.1	rRNA_pseudogene	0.308945272	-1.431407391
18519	ENSG00000255726.1	unprocessed_pseudogene	0.339819105	0.813700146
12042	ENSG00000233441.6	transcribed_unitary_pseudogene	0.259552461	-0.731860485
12265	ENSG00000252620.1	snRNA	-0.316612825	-1.240913769
13564	ENSG00000250677.1	processed_pseudogene	0.34424659	1.181006795
14542	ENSG00000251162.1	processed_pseudogene	0.288986287	0.963753405
12770	ENSG00000239001.1	snRNA	0.284058282	-0.736589822
9958	ENSG00000169981.10	protein_coding	0.347178018	-0.428500365
14566	ENSG00000249617.1	processed_pseudogene	0.374689522	-0.129425141
15465	ENSG00000250048.2	lincRNA	0.252694552	-0.535953827
15250	ENSG00000200600.1	misc_RNA	0.337943037	-1.274592797
11697	ENSG00000168827.14	protein_coding	0.290494501	3.840237336
11797	ENSG00000222357.1	snRNA	0.285998913	3.44827011
11347	ENSG00000174564.12	protein_coding	0.272108621	1.366711686
18853	ENSG00000217227.1	processed_pseudogene	0.493059218	-1.44600791
17665	ENSG00000253979.1	lincRNA	0.646880754	-2.173428232
8315	ENSG00000225406.1	processed_pseudogene	0.222345074	4.08890161
621	ENSG00000162482.4	protein_coding	0.258841482	-0.277348794
14525	ENSG00000248431.1	lincRNA	0.295812445	-0.250175119
15889	ENSG00000226544.4	processed_pseudogene	0.342316836	-0.566906434
8703	ENSG00000235864.1	processed_pseudogene	0.296352879	1.213962129
3857	ENSG00000233540.1	sense_intronic	0.249841735	2.772745477
4184	ENSG00000276735.1	misc_RNA	0.281264406	1.339071451
7789	ENSG00000232606.1	lincRNA	0.282704334	1.780642896
17680	ENSG00000250999.1	antisense	0.29035932	0.406575582
14788	ENSG00000250410.1	antisense	0.245295215	0.78199226
18723	ENSG00000242014.3	misc_RNA	0.248490039	1.745449205
13318	ENSG00000248763.2	unprocessed_pseudogene	0.332236473	-1.579952861
3659	ENSG00000227243.3	unprocessed_pseudogene	0.294771386	-0.802685829
1860	ENSG00000212257.1	snRNA	0.252258312	2.117380109
10400	ENSG00000244342.5	lincRNA	0.279978202	12.01568528
7625	ENSG00000234576.2	unprocessed_pseudogene	0.34381128	-0.028530987
15063	ENSG00000250786.1	lincRNA	0.254652	0.899935099
10506	ENSG00000244345.1	lincRNA	0.351980731	-0.404851041
12965	ENSG00000154277.12	protein_coding	0.352866358	-1.030630182
18833	ENSG00000275550.1	processed_pseudogene	0.358742396	-0.016293252
11624	ENSG00000279305.1	TEC	0.278884213	-1.014057445
9528	ENSG00000207163.1	snRNA	0.330447972	0.879214563
18725	ENSG00000030110.12	protein_coding	0.234299581	2.141004644
15879	ENSG00000264099.1	miRNA	0.258465263	1.149291089
1440	ENSG00000232369.1	processed_pseudogene	0.261829244	0.536861306
6340	ENSG00000227791.3	processed_pseudogene	0.264978858	-0.853756281
6571	ENSG00000159399.9	protein_coding	0.568115416	-1.328277617
15035	ENSG00000249159.6	lincRNA	0.276192707	3.662953555
10039	ENSG00000163832.15	protein_coding	0.266964621	1.57420954
15876	ENSG00000278824.1	processed_pseudogene	0.330242248	-0.055432808
115	ENSG00000179403.11	protein_coding	0.226755155	0.453592771
14695	ENSG00000249084.1	antisense	0.247600544	-0.38234678
8097	ENSG00000252779.1	snRNA	0.524620506	-1.629448955
18704	ENSG00000204220.11	protein_coding	0.195306479	1.019983526
7133	ENSG00000279904.1	TEC	0.250021262	-0.549272373
12651	ENSG00000264931.1	miRNA	0.294397567	0.191009019
4087	ENSG00000201312.1	rRNA_pseudogene	0.281340866	-1.278950622
