	Unnamed: 0	gene_id	gene_type	logFC	AveExpr
0	14541	ANP32C	processed_pseudogene	0.449817927	0.073972541
1	14546	RNU6-668P	snRNA	0.38094408	0.169836608
2	14099	ENSG00000241651	processed_pseudogene	0.404279513	1.45653165
3	14034	QRFPR	protein_coding	0.48861975	-1.745303146
4	9189	IQCA1-AS1	antisense	0.332324201	1.162603164
5	3525	OR10AE1P	unprocessed_pseudogene	0.320190294	-1.362672208
6	11271	ENSG00000251447	unprocessed_pseudogene	0.37818516	-1.484494771
7	14945	ENSG00000249966	antisense	0.406176119	-1.570880698
8	9527	GRIP2	protein_coding	0.38259805	1.276074539
9	5970	THUMPD2	protein_coding	0.330997768	-1.060410388
10	11845	KRT8P13	processed_pseudogene	0.333480848	1.47358935
11	15792	ENSG00000249721	processed_pseudogene	0.350729381	-0.565217606
12	6215	ENSG00000212168	snoRNA	0.315667145	1.129660746
13	7389	ENSG00000224967	processed_pseudogene	0.649235462	-1.953019675
14	17836	ENSG00000233068	lincRNA	0.324991054	1.705508321
15	15540	FGF10-AS1	antisense	0.302032947	0.889583867
16	12780	ENSG00000250137	antisense	0.310844413	0.545555583
17	14544	CHORDC1P3	processed_pseudogene	0.307143445	0.947554718
18	8596	RAPH1	protein_coding	0.319649569	-0.214421593
19	15544	MRPS30-DT	antisense	0.294504795	0.079906744
20	18832	TBC1D22B	protein_coding	0.342718997	-0.153328742
21	10224	GPR62	protein_coding	0.36611479	0.297647613
22	9979	LARS2-AS1	antisense	0.340682584	-0.955181889
23	17887	MIR5683	miRNA	0.273137049	0.59319503
24	18131	C6orf62	protein_coding	0.375596031	-1.275152077
25	10157	ENSG00000228008	antisense	0.405950325	-1.298033838
26	4055	5S_rRNA	rRNA_pseudogene	0.308945272	-1.431407391
27	18519	ENSG00000255726	unprocessed_pseudogene	0.339819105	0.813700146
28	12042	CYP2AB1P	transcribed_unitary_pseudogene	0.259552461	-0.731860485
29	12265	RNU6ATAC24P	snRNA	-0.316612825	-1.240913769
30	13564	ENSG00000250677	processed_pseudogene	0.34424659	1.181006795
31	14542	ENSG00000251162	processed_pseudogene	0.288986287	0.963753405
32	12770	RNU6-420P	snRNA	0.284058282	-0.736589822
33	9958	ZNF35	protein_coding	0.347178018	-0.428500365
34	14566	ENSG00000249617	processed_pseudogene	0.374689522	-0.129425141
35	15465	LINC00603	lincRNA	0.252694552	-0.535953827
36	15250	Y_RNA	misc_RNA	0.337943037	-1.274592797
37	11697	GFM1	protein_coding	0.290494501	3.840237336
38	11797	RNU2-20P	snRNA	0.285998913	3.44827011
39	11347	IL20RB	protein_coding	0.272108621	1.366711686
40	18853	TFGP1	processed_pseudogene	0.493059218	-1.44600791
41	17665	ENSG00000253979	lincRNA	0.646880754	-2.173428232
42	8315	ELF2P4	processed_pseudogene	0.222345074	4.08890161
43	621	AKR7A3	protein_coding	0.258841482	-0.277348794
44	14525	ENSG00000248431	lincRNA	0.295812445	-0.250175119
45	15889	RPL7P22	processed_pseudogene	0.342316836	-0.566906434
46	8703	HSPA8P6	processed_pseudogene	0.296352879	1.213962129
47	3857	DNM3-IT1	sense_intronic	0.249841735	2.772745477
48	4184	Metazoa_SRP	misc_RNA	0.281264406	1.339071451
49	7789	LINC01412	lincRNA	0.282704334	1.780642896
50	17680	ENSG00000250999	antisense	0.29035932	0.406575582
51	14788	LRP2BP-AS1	antisense	0.245295215	0.78199226
52	18723	RN7SL26P	misc_RNA	0.248490039	1.745449205
53	13318	ENSG00000248763	unprocessed_pseudogene	0.332236473	-1.579952861
54	3659	SLAMF6P1	unprocessed_pseudogene	0.294771386	-0.802685829
55	1860	RNU6-1176P	snRNA	0.252258312	2.117380109
56	10400	LINC00698	lincRNA	0.279978202	12.01568528
57	7625	MTND1P26	unprocessed_pseudogene	0.34381128	-0.028530987
58	15063	SNHG18	lincRNA	0.254652	0.899935099
59	10506	ENSG00000244345	lincRNA	0.351980731	-0.404851041
60	12965	UCHL1	protein_coding	0.352866358	-1.030630182
61	18833	ENSG00000275550	processed_pseudogene	0.358742396	-0.016293252
62	11624	ENSG00000279305	TEC	0.278884213	-1.014057445
63	9528	RNU6-905P	snRNA	0.330447972	0.879214563
64	18725	BAK1	protein_coding	0.234299581	2.141004644
65	15879	MIR4803	miRNA	0.258465263	1.149291089
66	1440	PPIAP35	processed_pseudogene	0.261829244	0.536861306
67	6340	RPS10P9	processed_pseudogene	0.264978858	-0.853756281
68	6571	HK2	protein_coding	0.568115416	-1.328277617
69	15035	ENSG00000249159	lincRNA	0.276192707	3.662953555
70	10039	ELP6	protein_coding	0.266964621	1.57420954
71	15876	ENSG00000278824	processed_pseudogene	0.330242248	-0.055432808
72	115	VWA1	protein_coding	0.226755155	0.453592771
73	14695	ENSG00000249084	antisense	0.247600544	-0.38234678
74	8097	RNU6-182P	snRNA	0.524620506	-1.629448955
75	18704	PFDN6	protein_coding	0.195306479	1.019983526
76	7133	ENSG00000279904	TEC	0.250021262	-0.549272373
77	12651	MIR3138	miRNA	0.294397567	0.191009019
78	4087	RNA5SP72	rRNA_pseudogene	0.281340866	-1.278950622
79	13002	RN7SL193P	misc_RNA	0.521982974	-0.60360027
80	1178	RNA5SP43	rRNA_pseudogene	0.208843979	3.353114928
81	2552	Y_RNA	misc_RNA	0.278059096	0.850219254
82	11509	LINC02046	lincRNA	0.252685271	1.810623158
83	434	PRAMEF12	protein_coding	0.256963605	-1.377164243
84	5746	PREB	protein_coding	0.293577869	-0.699814186
85	5244	OR3D1P	unprocessed_pseudogene	0.288383156	1.24958251
86	8284	ENSG00000234595	antisense	0.300160833	-1.410667955
87	5642	RNA5SP87	rRNA_pseudogene	0.264872392	0.038582105
88	1441	MRPS17P1	processed_pseudogene	0.241785872	1.406514565
89	12781	ERVH-1	lincRNA	0.281733121	1.711738808
90	790	RNU6-1208P	snRNA	0.280388627	-1.362526516
91	14506	C4orf45	protein_coding	0.375996485	-0.75805077
92	14549	ENSG00000244146	processed_pseudogene	0.303900668	-1.009996434
93	14696	AGA	protein_coding	0.24030901	0.110016233
94	16848	KDM3B	protein_coding	0.242782058	0.861453983
95	9526	SLC6A6	protein_coding	0.354269524	-1.465544574
96	14565	ENSG00000250430	processed_pseudogene	0.281158718	4.218393241
97	4327	MGAT4EP	transcribed_unitary_pseudogene	0.212109555	0.868396987
98	6968	ENSG00000228873	lincRNA	0.236125571	0.566739773
99	10741	TMEM45A	protein_coding	0.2179448	0.93952318
100	16941	VTRNA1-3	misc_RNA	0.278972629	-0.745805992
101	15627	CCNO-DT	antisense	0.224774232	4.82656823
102	9688	ZCWPW2	protein_coding	0.223099441	3.600058817
103	9190	RPL3P5	transcribed_processed_pseudogene	0.301927367	0.131654971
104	9525	RNA5SP124	rRNA_pseudogene	0.270374015	1.54177866
105	2881	ENSG00000276216	lincRNA	0.217955046	-0.139224681
106	15280	CCNB3P1	processed_pseudogene	0.323006567	-0.4882957
107	3162	ENSG00000226716	antisense	0.270715843	-0.671207011
108	8078	ERICH2-DT	lincRNA	0.225904837	-1.092955007
109	9340	RPL21P17	processed_pseudogene	0.324389099	-1.387835408
110	8858	FEV	protein_coding	0.302184011	-0.751950724
111	12772	ENSG00000244538	processed_pseudogene	0.197837811	2.334666075
112	998	LINC01778	lincRNA	-0.23913214	0.017860276
113	2012	RNU6-161P	snRNA	0.210613776	1.381990877
114	9173	ENSG00000226542	lincRNA	0.259281711	0.443072771
115	9191	ACKR3	protein_coding	0.252822292	4.534627827
116	7903	ENSG00000282440	lincRNA	0.217627933	0.715587454
117	1525	ENSG00000271355	processed_pseudogene	-0.28618129	1.354628265
118	704	LINC01635	lincRNA	0.263617807	1.502755915
119	6327	MIR4433A	miRNA	0.261779522	0.518076182
120	7790	TEX41	lincRNA	0.232244519	3.345754954
121	16609	BOLA3P3	processed_pseudogene	-0.262099718	1.281280947
122	8916	ENSG00000235337	lincRNA	0.269768877	-0.241402344
123	9776	HSPD1P6	transcribed_processed_pseudogene	0.267173508	0.605981646
124	4785	LIN9	protein_coding	0.261343274	0.708994955
125	4049	ENSG00000271269	processed_pseudogene	0.217519344	-0.204198299
126	8075	ENSG00000275414	misc_RNA	0.268392336	0.37681796
127	4845	ENSG00000270104	lincRNA	-0.260613555	-0.569554327
128	10615	LINC02070	lincRNA	-0.235246377	0.227585435
129	18734	ENSG00000271362	processed_pseudogene	0.244847586	-0.573349141
130	2889	NBPF25P	transcribed_unprocessed_pseudogene	0.242317804	1.854362623
131	3882	ENSG00000238272	antisense	0.390146364	-1.462599498
132	1790	PATJ-DT	lincRNA	0.259315481	1.738764457
133	10968	ENSG00000251012	protein_coding	0.227423485	-1.226676279
134	15848	ENSG00000254701	unprocessed_pseudogene	0.221644918	2.649036513
135	3051	ANP32E	protein_coding	0.246702173	-0.045063585
136	15722	ENSG00000251682	processed_pseudogene	0.270357258	1.482787425
137	9978	LARS2	protein_coding	0.260914112	-0.323626691
138	14886	Y_RNA	misc_RNA	0.23526511	1.581509908
139	15721	ZSWIM6	protein_coding	0.359056731	-1.615313776
140	12583	ENSG00000250915	lincRNA	0.196208301	1.206090618
141	4375	ENSG00000225522	processed_pseudogene	0.262519737	0.403210012
142	15334	MIR4279	miRNA	0.324071175	5.635526699
143	14543	RNU6-284P	snRNA	0.267027924	0.225855874
144	5888	ENSG00000226994	lincRNA	0.225777183	1.227345427
145	18599	SNHG32	protein_coding	0.244744318	-0.103534511
146	6664	LINC01964	lincRNA	0.20593395	1.474562132
147	14005	RNU4-33P	snRNA	0.237592332	-0.923456125
148	12720	FGFBP1	protein_coding	0.227102475	-0.747255998
149	11055	PDIA5	protein_coding	-0.259398441	-1.093925336
150	10415	PSMD6-AS2	antisense	0.234668214	-0.992216478
151	14868	RARRES2P4	processed_pseudogene	-0.294401956	-1.405978942
152	2906	LIX1L	protein_coding	0.189785367	6.029075095
153	18534	ZDHHC20P2	processed_pseudogene	0.29838006	-0.989338076
154	8452	RNU6-1029P	snRNA	0.19922649	2.09461125
155	7500	RNU6-395P	snRNA	0.193719856	5.911258071
156	16145	ENSG00000249061	lincRNA	0.295099838	-0.671977887
157	8834	USP37	protein_coding	0.272321758	-0.05000264
158	4445	ENSG00000261000	lincRNA	0.217962804	0.482604073
159	15281	CDH9	protein_coding	0.284694296	-0.09314353
160	9529	RHBDF1P1	processed_pseudogene	0.30616363	-1.413222109
161	1777	RN7SL475P	misc_RNA	0.21427443	3.367053758
162	18726	LINC00336	lincRNA	0.20120356	4.010510886
163	3938	PTP4A1P7	processed_pseudogene	0.233286005	-0.67056106
164	4598	PROX1-AS1	processed_transcript	0.222302069	0.858131156
165	15360	ENSG00000250583	lincRNA	0.21671292	0.952671489
166	14238	Y_RNA	misc_RNA	0.167515721	7.846221535
167	15285	ENSG00000250079	processed_pseudogene	0.293142351	4.627504713
168	11895	NAALADL2-AS2	antisense	0.232211419	-1.349927538
169	9043	RNU6-268P	snRNA	0.299951705	0.890911778
170	5681	PTRHD1	protein_coding	0.255411607	-1.335194441
171	14641	MIR548T	miRNA	0.240743414	0.165150581
172	14547	APELA	protein_coding	0.286472731	-1.000315584
173	15952	ENSG00000242198	processed_pseudogene	0.207268578	2.513678805
174	4378	PLEKHA6	protein_coding	0.2742067	0.67849191
175	14310	ENSG00000280250	TEC	0.20676615	2.432321593
176	18562	PRRC2A	protein_coding	0.193045122	0.261482805
177	6634	RN7SL201P	misc_RNA	0.264502278	-1.035940274
178	6992	RNA5SP101	rRNA_pseudogene	0.237165963	-0.134827553
179	5248	OR14A2	protein_coding	0.216556312	-0.023426894
180	137	NADK	protein_coding	0.220706889	0.994542062
181	16776	MTND3P25	processed_pseudogene	0.254976007	-0.039750668
182	2673	ENSG00000226973	unprocessed_pseudogene	0.178642335	2.194820235
183	15006	TENT4A	protein_coding	0.183549037	3.221811066
184	10212	IQCF6	protein_coding	0.232773508	1.128493268
185	1966	LINC02797	lincRNA	0.221042842	-0.706503724
186	2553	NRBF2P3	processed_pseudogene	0.23259321	1.622490342
187	15431	GDNF-AS1	antisense	0.205911963	2.609817475
188	4086	LINC01633	lincRNA	0.220326558	-0.398552644
189	703	RNU6-776P	snRNA	0.209113813	3.034904635
190	14158	U6	snRNA	0.208577906	2.107810043
191	12017	DCUN1D1	protein_coding	0.277566278	0.838871112
192	8003	CYP2C56P	processed_pseudogene	0.231330992	4.19556923
193	13426	PARM1-AS1	antisense	-0.226425405	-0.549828401
194	6932	UBTFL5	unprocessed_pseudogene	0.199593764	1.078172198
195	11751	ENSG00000243044	processed_pseudogene	0.444545017	-1.262953928
196	14269	GYPE	protein_coding	0.189056713	0.669040987
197	15994	ZBED3-AS1	antisense	0.228496573	0.92405283
198	835	SLC30A2	protein_coding	0.203874344	-0.575972598
199	18748	RPS10	protein_coding	0.218694658	0.267030746
200	3313	PBXIP1	protein_coding	0.23208493	0.905869052
201	9984	ENSG00000279017	TEC	0.256911567	1.87022312
202	6495	RAB11FIP5	protein_coding	0.217130578	-1.272290219
203	3583	PPIAP37	processed_pseudogene	0.185487239	0.848715551
204	6718	KDM3A	protein_coding	0.180453227	3.515830116
205	2317	LINC02607	lincRNA	-0.238767178	-1.225089385
206	15066	TAS2R1	protein_coding	-0.276577384	5.967035929
207	2286	ENSG00000233129	processed_pseudogene	0.200733121	1.216148933
208	1902	ENSG00000238139	processed_pseudogene	0.254679448	-1.186182912
209	10249	PPP2R5CP	processed_pseudogene	-0.203284422	-1.251152621
210	7364	LINC01191	lincRNA	0.256715586	1.021763058
211	5702	TPM3P7	processed_pseudogene	0.242374055	-1.12858967
212	14551	FAM218BP	processed_pseudogene	-0.229153239	-1.136721264
213	11805	MECOM	protein_coding	0.188033965	0.809016083
214	8735	MIR4776-2	miRNA	0.22244151	-1.353121465
215	16074	CKMT2	protein_coding	0.273186377	2.60180066
216	17873	MIR3691	miRNA	0.209195119	0.726927306
217	2013	LINC02567	lincRNA	0.204465407	0.25106621
218	16270	Y_RNA	misc_RNA	0.287956657	-1.462273814
219	2270	FNBP1L	protein_coding	-0.209039608	4.225404393
220	4056	ENSG00000226570	processed_pseudogene	0.219884669	0.218826959
221	12894	PSME2P4	processed_pseudogene	0.18989733	2.550651264
222	908	FGR	protein_coding	0.238257688	-1.30825926
223	2096	PRKACB	protein_coding	0.219269821	4.389909198
224	5316	RNU6-1205P	snRNA	0.173564024	5.56140906
225	13568	ENSG00000274154	processed_pseudogene	0.238655156	-1.274901051
226	6088	BCYRN1	scRNA	0.204357529	1.508032961
227	612	MIR4695	miRNA	0.212743563	0.460469397
228	1868	DNAJC6	protein_coding	0.206863491	1.030155518
229	1439	CCNB1IP1P1	processed_pseudogene	0.184834841	2.450062541
230	6322	LINC00309	lincRNA	0.31716348	-1.554757685
231	4316	ENSG00000232626	transcribed_processed_pseudogene	0.256919192	-1.250987713
232	14968	ENSG00000259603	antisense	0.243307412	-0.75858092
233	7265	BUB1	protein_coding	-0.248275212	7.356887006
234	3222	RNU6-160P	snRNA	0.300481174	-1.254898731
235	15499	ENSG00000270513	processed_pseudogene	0.224457084	-1.108802769
236	12758	SLIT2-IT1	sense_intronic	-0.212724114	-1.025976777
237	7627	ENSG00000276460	unprocessed_pseudogene	0.227744823	0.981886537
238	5084	ENSG00000215805	processed_pseudogene	0.196060616	-0.264812205
239	7563	TEKT4P3	processed_pseudogene	0.173693491	1.379702476
240	13901	ENSG00000241722	processed_pseudogene	0.311582753	-1.632159122
